path,template_component,live_http,h1_raw_html,main_chars,metadesc_len,canonical_selfref,robots,ld_types,cards_referencing
/industry,routes/industries/index.tsx,200,1,3827,131,True,"index, follow",BreadcrumbList|CollectionPage|ListItem,11
/industry/dentists,routes/templates/industry-page.tsx,200,1,5234,170,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,12
/industry/ecommerce,routes/templates/industry-page.tsx,200,1,5478,163,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,11
/industry/estate-agents,routes/templates/industry-page.tsx,200,1,5454,171,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,12
/industry/fitness-coaches,routes/templates/industry-page.tsx,200,1,5073,158,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,12
/industry/gyms-fitness-studios,routes/templates/industry-page.tsx,200,1,5447,160,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,12
/industry/hospitality,routes/templates/industry-page.tsx,200,1,5332,173,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,12
/industry/physios-chiropractors,routes/templates/industry-page.tsx,200,1,5194,148,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,13
/industry/salons-barbers,routes/templates/industry-page.tsx,200,1,5422,164,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,11
/industry/trades,routes/templates/industry-page.tsx,200,1,5327,157,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,12
/pricing,routes/templates/core-marketing-page.tsx,200,1,3030,117,True,"index, follow",BreadcrumbList|ListItem|WebPage,12
/privacy-policy,routes/templates/core-marketing-page.tsx,200,1,2492,105,True,"noindex,nofollow",BreadcrumbList|ListItem|WebPage,1
/services,routes/templates/service-page.tsx,200,1,2811,136,True,"index, follow",BreadcrumbList|CollectionPage|ListItem,12
/services/ai-automation,routes/templates/service-page.tsx,200,1,4107,158,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,12
/services/ai-consulting,routes/templates/service-page.tsx,200,1,4197,150,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,13
/services/ai-receptionists,routes/templates/service-page.tsx,200,1,6632,152,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,14
/services/ai-voice-agents,routes/templates/service-page.tsx,200,1,5217,165,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,11
/services/app-development,routes/templates/service-page.tsx,200,1,4231,167,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,14
/services/content-creation,routes/templates/service-page.tsx,200,1,4200,155,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,15
/services/web-design-development,routes/templates/service-page.tsx,200,1,5820,169,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,12
